acc. date,type,reg.,operator,fat.,location
11-Feb-09,Antonov An-2,10 yellow,Russian Air Force,0,near Pskov Airport (PKV)
11-Feb-09,Cessna 208B Grand Caravan,5Y-BUQ,Airworks Kenya Ltd,0,Boma Airstrip
12-Feb-09,British Aerospace 3102 Jetstream 31,SX-SKY,Sky Express,0,Heraklion-N. Kazantzakis Airport (HER)
12-Feb-09,Dassault Falcon 100,VP-BAF,Laret Aviation,2,St. Moritz-Samedan Airport (SMV)
12-Feb-09,de Havilland Canada DHC-8-402Q Dash 8,N200WQ,"Colgan Air, opf Continental Connection",49+1,"10 km NE of Buffalo Niagara International Airport, NY (BUF)"
13-Feb-09,Avro RJ100,G-BXAR,BA CityFlyer,0,London City Airport (LCY)
14-Feb-09,CASA C-212 Aviocar 200,N440RA,Arctic Transportation Services,0,"1 km W of Kotzebue-Ralph Wien Memorial Airport, AK (OTZ)"
15-Feb-09,Cessna 208B Grand Caravan,YV1950,Rutaca,0,Guasdualito-Vare Maria Airport (GDO)
15-Feb-09,HESA IrAn-140-100,HESA90-04,HESA,5,near Isfahan/Shahin Shahr-Hesa Air Base (IFH)
18-Feb-09,Basler BT-67 Turbo 67 (DC-3T),PNC-0211,Servicio Aéreo de Policia,0,Medellín-Enrique Olaya Herrera Airport (EOH)
18-Feb-09,Basler BT-67 Turbo 67 (DC-3T),FAC-1670,Fuerza Aérea Colombiana,5,8 km from Palanquero-German Olano Air Base (PQE)
20-Feb-09,Boeing 747-451,N676NW,Northwest Airlines,0,Chiba (near Tokyo)
20-Feb-09,Antonov An-12B,S9-SVN,Aerolift Company,5,Luxor Airport (LXR)
22-Feb-09,Antonov An-2SX,EX-68039,Golden Rule Airlines,0,"1,5 km SE of Bishkek District Airport"
24-Feb-09,McDonnell Douglas MD-90-30,PK-LIO,Lion Air,0,Batam (WIDD)
24-Feb-09,Learjet 35A,N465NW,Bankair Inc,0,"Kansas City, Missouri"
24-Feb-09,Lockheed C-130H Hercules,SU-BAC/1272,Egyptian Air Force,0,unknown
25-Feb-09,Boeing 737-8F2,TC-JGE,THY Turkish Airlines,9,"1,5 km N of Amsterdam-Schiphol International Airport (AMS)"
28-Feb-09,Bombardier CRJ-200ER,N830AS,Atlantic Southeast Airlines - ASA,0,"Tallahassee International Airport, FL (TLH/KTLH)"
28-Feb-09,Saab 2000,YR-SBI,Carpatair,0,Timisoara Airport (TSR)
01-Mar-09,Beechcraft 100 King Air,YV2129,Command Air,6,"near San Miguel, Trujillo"
02-Mar-09,Avro RJ85,EI-RJF,CityJet,0,Dublin Airport (DUB/EIDW)
03-Mar-09,Swearingen SA226-TC Metro II,C-FSLZ,Perimeter Airlines (Inland),0,"Winnipeg-James Armstrong Richardson International Airport, MB (YWG)"
04-Mar-09,Cessna 208 Caravan I,5X-ASI,Air Serv Limited,0,Maridi Airport
06-Mar-09,GAF Nomad N.22B,L9-5/25,Royal Thai Air Force - RTAF,1,Khok Katiam Air Force Base Lop Buri Province
06-Mar-09,National Aerospace Laboratories (NAL) Saras,VT-XRM,National Aerospace Laboratories - NAL,3,near Bidadi
09-Mar-09,McDonnell Douglas MD-90-30,PK-LIL,Lion Air,0,Jakarta-Soekarno-Hatta International Airport (CGK)
09-Mar-09,Ilyushin Il-76T,S9-SAB,Aerolift,11,10 km S off Entebbe Airport (EBB)
13-Mar-09,Boeing E-8C (707),93-0597,United States Air Force - USAF,0,near Qatar
17-Mar-09,Learjet 55,C-GCIL,Sunwest Aviation Ltd.,0,"Casper/Natrona County International Airport, WY"
19-Mar-09,Beechcraft 200 Super King Air,AEE-101,Aviación del Ejército Ecuatoriana - AEE,5+2,4 km SSW of Quito-Mariscal Sucre Airport (UIO)
20-Mar-09,Airbus A340-541,A6-ERG,Emirates,0,"Melbourne-Tullamarine Airport, VIC (MEL)"
23-Mar-09,McDonnell Douglas MD-11F,N526FE,FedEx Express,2,Tokyo-Narita Airport (NRT)
26-Mar-09,Tupolev Tu-134AK,RA-65981,Russian Air Force,0,Dolinsk-Sokol Air Base
28-Mar-09,McDonnell Douglas MD-88,N941DL,Delta Air Lines,0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)"
29-Mar-09,Cessna 550 Citation II,N44FR,Fritzi Jet LLC,0,"Salt Lake City International Airport, UT (SLC)"
31-Mar-09,PZL-Mielec M28TD Bryza 2RF,1007,Lotnictwo Marynarki Wojennej (Polish Navy),4,Gdynia-Babie Doly
02-Apr-09,Britten-Norman BN-2A Islander,RP-C764,Chemtrad Aviation,7,"Barangay San Miguel, Baggao, Cagayan"
06-Apr-09,Fokker F-27 Friendship 400M,A-2703,Tentara Nasional Indonesia-AU (Air Force),24,Bandung-Husein Sastranegara International Airport (BDO)
09-Apr-09,British Aerospace BAe-146-300,PK-BRD,Aviastar Mandiri,6,"6,5 km NW of Wamena (WMX)"
11-Apr-09,Cessna 208B Grand Caravan,RDPL-34144,Lao Air,0,Thulakhôm district
16-Apr-09,McDonnell Douglas MD-11F,N384WA,"World Airways, opf Arrow Cargo",0,Localidad de Batuco
17-Apr-09,Cessna 208B Grand Caravan,YV1181,Línea Turística Aereotuy - LTA,1,Canaima Airport (CAJ)
18-Apr-09,Boeing 737-724,N27722,Continental Airlines,0,"McAllen, Texas"
19-Apr-09,Boeing 737-8AS,C-FTCZ,CanJet Airlines,0,Montego Bay-Sangster International Airport (MBJ)
20-Apr-09,de Havilland Canada DHC-8-202,N449YV,"US Airways Express, opb Mesa Airlines",0,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)"
20-Apr-09,Boeing 767-36NER,CN-RNT,Royal Air Maroc - RAM,0,"New York-John F. Kennedy International Airport, NY (JFK)"
21-Apr-09,Cessna 208 Caravan I,N208JW,Greystoke Engineering Inc,0,"Frederick, Maryland"
21-Apr-09,Bombardier DHC-8-402Q Dash 8,C-GLQD,Porter Airlines,0,"Ottawa/Macdonald-Cartier International Airport, ON (YOW)"
22-Apr-09,Rockwell Sabreliner 60,N103TA,Ian Hassib Massry,0,Banjul-Yundum International Airport (BJL)
25-Apr-09,Lockheed SP-2H Neptune,N442NA,Neptune Aviation Services,3,"2,7 km N of Stockton, UT"
26-Apr-09,Douglas DC-3C,N136FS,Four Star Air Cargo,0,San Juan-Luis Muñoz Marín International Airport (SJU)
27-Apr-09,Boeing 737-2K9,XA-MAF,Magnicharters,0,Guadalajara-Don Miguel Hidalgo y Costilla International Airport (GDL)
29-Apr-09,Boeing 737-275,TL-ADM,Bako Air,7,"Massamba, Bandundu Province"
30-Apr-09,Antonov An-2,RF-00842,Yakutsk ASK ROSTO,3,"Oi (Nemyugyuntsy), Yakutia"
04-May-09,Antonov An-2,,Republic of Korea Air Force - ROKAF,0,near Seongmu Air Base
04-May-09,Airbus A320-211,N311US,Northwest Airlines,0,"Denver International Airport, CO (DEN)"
05-May-09,Cessna 551 Citation II/SP,N740JB,Ballard Aviation Inc,0,"Stillwater, Oklahoma"
06-May-09,Cessna 208B Grand Caravan,D-FOLE,OLT Ostfriesische Lufttransport,0,near Dornum
06-May-09,McDonnell Douglas DC-10-30ER,N139WA,World Airways,0,"Baltimore/Washington International Thurgood Marshall Airport, MD (BWI)"
08-May-09,Boeing 747-48EF,HL7419,Asiana Airlines,0,near Frankfurt International Airport (FRA)
08-May-09,McDonnell Douglas MD-90-30,HZ-APW,Saudi Arabian Airlines,0,Riyadh-King Khalid International Airport (RUH)
08-May-09,Tupolev Tu-154M,EP-MCR,Iran Airtour,0,near Mashhad Airport (MHD)
10-May-09,British Aerospace 3212 Jetstream 32,YV1467,private,1,W of Utila Airport (UII)
11-May-09,Lockheed C-130B Hercules,A-1302,Tentara Nasional Indonesia-AU (Air Force),0,Wamena Airport (WMX)
16-May-09,de Havilland Canada DHC-6 Twin Otter 300,HP-747APP,Aeroperlas,0,Cartí Airport (CTE)
16-May-09,Boeing 757-232,N657DL,Delta Air Lines,0,over Cuba
18-May-09,Antonov An-24T,EK-46839,"Air Atlantic Congo, lsf Phoenix Avia",0,Dire Dawa-Aba Tenna D Yilma Airport (DIR)
20-May-09,Boeing 767-332,N129DL,Delta Air Lines,0,"Near San Juan, Puerto Rico"
20-May-09,Lockheed L-100-30 Hercules,A-1325,Tentara Nasional Indonesia-AU (Air Force),97+2,near Madiun-Iswahyudi Airport
20-May-09,Airbus A319,,,0,Köln-Bonn
21-May-09,Embraer ERJ-140LR,N843AE,American Eagle Airlines,0,"Los Angeles International Airport, CA (LAX/KLAX)"
22-May-09,Beechcraft B300 King Air 350,PR-MOZ,Santa Coloma Investimentos e Participações Ltda.,14,"Porto Seguro-Terravista Golf Club Airport, BA"
25-May-09,Airbus A330-223,PT-MVN,TAM Linhas Aéreas,0,"In flight, on approach to Sao Paulo"
26-May-09,Antonov An-26,9Q-CSA,Services Air,3,3 km from Isiro-Matari Airport (IRP)
28-May-09,de Havilland Canada DHC-5D Buffalo,AEE-501,Aviación del Ejército Ecuatoriana - AEE,0,Quevedo Airport
30-May-09,ATR 42-500,AP-BHO,Pakistan International Airlines - PIA,0,Lahore Airport (LHE)
01-Jun-09,Airbus A330-203,F-GZCP,Air France,228,c 160km NNW off São Pedro and São Paulo Archipelago
02-Jun-09,de Havilland Canada DHC-6 Twin Otter 200,8Q-MAG,"Maldivian Air Taxi, lsf Kenn Borek Air",0,Halaveli Resort lagoon
03-Jun-09,Boeing 737-59D,VP-BXM,Aeroflot-Nord,0,Simferopol Airport (SIP)
03-Jun-09,McDonnell Douglas MD-11F,B-2175,China Cargo Airlines,0,Urumqi Airport (URC)
03-Jun-09,de Havilland Canada DHC-6 Twin Otter 300,SE-GEE,Skydive Airlines,0,"Gryttjom airfield, Uppsala county"
05-Jun-09,Cessna 550 Citation II,N73HH,Siddons Martin Aviation,0,"Sellersburg, Indiana"
06-Jun-09,Fokker F-28 Fellowship 4000,XY-ADW,Myanma Airways,0,Sittwe-Civil Airport (AKY)
07-Jun-09,Britten-Norman BN-2A-27 Islander,C-FJJR,Strait Air,1,"5,5 km W of Port Hope Simpson Airport, NL (YHA)"
08-Jun-09,Antonov An-32,K3062,Indian Air Force - IAF,13,Rinchi village in West Siang district
09-Jun-09,McDonnell Douglas MD-11F,HZ-ANB,Saudi Arabian Airlines,0,Khartoum-Civil Airport (KRT)
09-Jun-09,Antonov An-2R,EX-156,Valor Air,0,"Kadamdzhayskom, Batken district"
10-Jun-09,Beechcraft 200C Super King Air,ZS-PNZ,Aviation Asset Management (Pty) Ltd,0,"Lanseria International Airport, Gauteng"
13-Jun-09,de Havilland Canada DHC-6 Twin Otter 100,N204EH,Skydive Factory,0,"Orange, VA"
13-Jun-09,Antonov An-2R,RF-00428,ROSTO Primorsk-Ahtarska,0,"20 km SE of Primorsko-Ahtarsk, Krasnodar region"
14-Jun-09,Dornier 328-110,PK-TXN,Express Air,0,Tanahmerah Airport (TMH)
17-Jun-09,Airbus A320-233,LV-BET,LAN Argentina,0,"Buenos Aires/Ezeiza Airport, BA (SAEZ)"
18-Jun-09,Learjet 40,N998AL,Alex Lyon & Sons Sales Managers & Auctioneers Inc.,0,"Fort Worth-Meacham Field, TX (FTW)"
20-Jun-09,Antonov An-2,,Unknown,0,"Pologi, Zaporizhya region"
25-Jun-09,Xian MA60,RP-C8892,Zest Airways,0,Caticlan-Malay Airport (MPH)
26-Jun-09,Let L-410UVP-E,HK-4094,TAC - Transporte Aéreo de Colombia,0,Capurganá Airport (CPB)
27-Jun-09,British Aerospace 3201 Jetstream 31,N485UE,Vecolair,0,Salerno FOB
29-Jun-09,Britten-Norman BN-2B-26 Islander,D-ILFC,LFH Luftverkehr Friesland Harle,0,Wangerooge Airfield (AGE/EDWG)
29-Jun-09,de Havilland Canada DHC-6 Twin Otter 300,PK-BRO,Aviastar Mandiri,3,ca 19 km SSE of Wamena Airport (WMX)
30-Jun-09,Airbus A310-324,7O-ADJ,Yemenia Airways,152,6 km NW off Mitsamiouli
05-Jul-09,Britten-Norman BN-2A Trislander Mk.III-1,ZK-LOU,Great Barrier Airlines (New Zealand),0,near Great Barrier Island Airport (GBZ)
06-Jul-09,Antonov An-28,ST-TYB,El Dinder Aviation,0,"1,6 km W of Sarif-Umra Airstrip"
07-Jul-09,Douglas DC-3C,N777YA,Bush Air Cargo Inc,0,"Skwentna, Alaska"
08-Jul-09,Fairchild SA227-AC Metro III,C6-FPO,Western Air,0,Bimini International Airport (BIM)
10-Jul-09,Airbus A320-232,N606JB,Jetblue Airways,0,"Fort Myers, Florida"
11-Jul-09,Embraer ERJ-170,N120HQ,"Republic Airlines, opf US Airways Express",0,"Indianapolis, Indiana"
13-Jul-09,Boeing 737-3H4,N387SW,Southwest Airlines,0,"near Charleston, WV"
15-Jul-09,Tupolev Tu-154M,EP-CPG,Caspian Airlines,168,12 km S of Qazvin
19-Jul-09,British Aerospace 3212 Jetstream 32,YV1200,Kavok Airlines,0,Metropolitano Airport
21-Jul-09,Beechcraft 100 King Air,C-FDAM,North Cariboo Flying Service,0,"Edmonton International Airport (CYEG), Alberta"
24-Jul-09,Ilyushin Il-62M,UP-I6208,"Aria Air, lsf Deta Air",16,Mashhad-Shahid Hashemi Nejad Airport (MHD)
27-Jul-09,Embraer ERJ-170,N135HQ,Republic Airlines,0,"Norfolk, VA"
29-Jul-09,de Havilland Canada DHC-6 Twin Otter 300,OY-POF,Air Greenland,0,340 km N of Constable Point
02-Aug-09,Embraer EMB-120RT Brasilia,5N-BLN,Capital Airlines Ltd.,0,Enugu Airport (ENU)
02-Aug-09,de Havilland Canada DHC-6 Twin Otter 300,PK-NVC,Merpati Nusantara Airlines,15,42 km N of Oksibil Airport (OKL)
03-Aug-09,Boeing 707-3J9C,EP-SHK,Saha Air,0,Ahwaz Airport (AWZ)
04-Aug-09,Bombardier CRJ-200LR,N8543F,"Delta Connection, opb Pinnacle Airlines",0,"In flight near Louisville, Kentucky"
04-Aug-09,ATR 72-500 (72-212A),HS-PGL,Bangkok Airways,1,Koh Samui Airport (USM)
04-Aug-09,Airbus A320-214,CS-TKO,SATA Internacional,0,"Ponta Delgada-João Paulo II Airport, Azores (PDL/LPPD)"
05-Aug-09,de Havilland Canada DHC-8-311,N328EN,"Piedmont Airlines, opf US Airways Express",0,"Fayetteville, North Carolina"
10-Aug-09,Boeing 737-881 (WL),JA56AN,All Nippon Airways - ANA,0,Tokyo-Haneda Airport (HND)
11-Aug-09,de Havilland Canada DHC-6 Twin Otter 300,P2-MCB,Airlines PNG,13,11 km SSE of Kokoda Airport (KKD)
14-Aug-09,Beechcraft 99 Airliner,F-BTME,"Skydive Portugal, lsf Avioarte Serviços Aéreos",2,"Bairro de Almeirim, Évora"
16-Aug-09,Britten-Norman BN-2A-6 Islander,YV212T,Islas Aviation Services,0,4 km off Caracas-Simón Bolívar International Airport (CCS)
16-Aug-09,Avcen Jetpod,-,Avcen,1,near Taiping Airport (TPG)
23-Aug-09,Dornier 328-100,RP-C6328,South East Asian Airlines,0,Manila-Ninoy Aquino International Airport (MNL)
23-Aug-09,Cessna 560 Citation Encore,N802QS,NetJets,0,"Kremmling, CO"
26-Aug-09,Cessna 208B Grand Caravan,YV1183,Línea Turística Aereotuy - LTA,0,"7,4 km N off La Tortuga"
26-Aug-09,Antonov An-12BK,TN-AIA,Aero Fret Business,6,11 km SE of Brazzaville-Maya Maya Airport (BZV)
27-Aug-09,Boeing 717-200,N994AT,Airtran Airways,0,"Inverness, FL"
27-Aug-09,Ilyuhsin Il-76TD,T-906,Força Aérea Popular de Angola,0,Luanda-4 de Fevereiro Airport (LAD)
28-Aug-09,Boeing E-3C Sentry (707-300),83-0008,United States Air Force - USAF,0,"Las Vegas-Nellis AFB, NV (LSV)"
29-Aug-09,de Havilland Canada DHC-8-202Q Dash 8,N367PH,CommutAir,0,"Unknown,"
01-Sep-09,Airbus A320-212,LZ-BHC,"Air Vallée, lsf BH Air",0,Verona Airport (VRN)
01-Sep-09,Embraer ERJ-195LR,D-AEMC,"Lufthansa, opb Augsburg Airways",0,Bremen Airport (BRE/EDDW)
01-Sep-09,Embraer ERJ-190,,,0,Bremen
04-Sep-09,Cessna 208B Grand Caravan,LV-WYR,"Dirección Provincial de Aeronáutica, Corrientes",0,"Resistencia (SARE), CH"
04-Sep-09,Boeing 747-437,VT-ESM,Air India,0,Mumbai-Chhatrapati Shivaji International Airport (BOM)
06-Sep-09,Britten-Norman BN-2A-26 Islander,VQ-TAA,Turks & Caicos National Airline,0,Grand Turk Island Airport (GDT)
06-Sep-09,Britten-Norman BN-2A Islander,VQ-TAH,Turks & Caicos National Airline,0,Grand Turk Island Airport (GDT)
07-Sep-09,Beechcraft 200 Super King Air,N83GA,Guardian Eagle Company,0,"Ruidoso Municipal Airport, NM (RUI)"
07-Sep-09,GAF Nomad N.24A,P-837,Tentara Nasional Indonesia-AL (Navy),5,"Long Apung, Bulungan Regency, East Kalimantan"
08-Sep-09,Airbus A320-214,PR-MYA,Tam Linhas Aereas,0,"Next to Varginha, MG"
09-Sep-09,Yakovlev Yak-40,RA-87447,Bugulma Air Enterprise,0,Aktyubinsk Airport (AKX)
09-Sep-09,Boeing 737-852,EI-DRA,Aeroméxico,0,Mexico City-Benito Juárez International Airport (MEX)
09-Sep-09,Antonov An-2R,UR-70427,Unknown,0,"Onikeevo, Kirovograd Oblast"
13-Sep-09,McDonnell Douglas MD-11F,D-ALCO,Lufthansa Cargo,0,Mexico City-Benito Juárez International Airport (MEX)
14-Sep-09,de Havilland Canada DHC-6 Twin Otter 300,PK-BRS,Aviastar Mandiri,0,Serui-Sudjarwo Tjondronegoro Airport (ZRI)
14-Sep-09,Fokker 100,D-AFKE,Contact Air Flugdienst,0,Stuttgart-Echterdingen Airport (STR/EDDS)
15-Sep-09,Cessna 208 Caravan I,N336DN,North American Flight Services,0,"Sheffield, MA"
16-Sep-09,Beechcraft B200 King Air,N726CB,Henry Broadcasting Nevada Inc,0,"Hayward Executive Airport, CA (HWD)"
18-Sep-09,CASA C-212 Aviocar 200,N349TA,Bering Air,0,"Savoonga Airport, AK (SVA)"
22-Sep-09,Ilyushin Il-76MD Simorgh,May-08,Islamic Republic of Iran Air Force - IRIAF,7,near Varamin
24-Sep-09,British Aerospace 4121 Jetstream 41,ZS-NRM,SA Airlink,1,"1,4 km E of Durban International Airport (DUR)"
26-Sep-09,Shorts SC.7 Skyvan,N754BD,All West Freight,0,"Skwentna, AK"
27-Sep-09,Canadair CL-600-2B16 Challenger 601-3R,N190MP,DB Service Company LLC.,0,"Vineyard Haven, Massachusetts"
28-Sep-09,NAMC YS-11M-A-624,9044,Japan Maritime Self Defence Force - JMSDF,0,Ozuki Airport
05-Oct-09,Boeing 767-3P6ER,N156DL,Delta Air Lines,0,E of Uruguay
06-Oct-09,Antonov An-2R,ST-AUS,Bashmia Aero Spray,1,Umgalala Airstrip
06-Oct-09,Beechcraft B100 King Air,N2TX,Robert Schumacher,0,"near Aurora, TX"
06-Oct-09,Cessna UC-35A (Cessna 560 Citation V Ultra),98-0008,United States Army,0,"Anchorage-Elmendorf AFB, AK (EDF)"
08-Oct-09,Antonov An-32A,354,Afghan National Army Air Corps,0,Kandahar Airport (KDH)
09-Oct-09,PZL-Mielec M28 Skytruck,YV1769,Unknown,0,Las Minas
09-Oct-09,CASA C-212 Aviocar 200,FAU-531,"United Nations - UN, lsf Fuerza Aérea Uruguaya - FAU",11,20 km W of Fonds-Verrettes
12-Oct-09,Embraer EMB-500 Phenom 100,PP-AFM,Save Comercial e Importadora Ltda.,0,"Angra dos Reis Airport, RJ"
13-Oct-09,Beechcraft C-12C Huron (A200 Super King Air),78-23135,United States Army,3,Nuristan Province
13-Oct-09,Boeing 707-321C,J5-GGU,Safari Airlines,0,Mombasa-Moi International Airport (MBA)
14-Oct-09,Antonov An-2TP,75,Fuerza Aérea - Ejército de Nicaragua,0,"0,8 km NE of Managua-Augusto C. Sandino International Airport (MGA)"
15-Oct-09,Cessna 208B Grand Caravan,N861MA,Mokulele Airlines,0,"Molokai Airport, Molokai, HI"
15-Oct-09,Douglas DC-3C,HK-1149,SADELCA Colombia - Sociedad Aérea del Caqueta,0,near Miraflores Airport (MFS)
15-Oct-09,Antonov An-28,PZ-TST,Blue Wing Airlines,0,Kwamalasamutu Airfield
15-Oct-09,Boeing 737-530,D-ABIU,Lufthansa,0,Frankfurt International Airport (FRA/EDDF)
17-Oct-09,Douglas DC-3C,RP-C550,Victoria Air,4,"ca 3,5 km SW of Manila-Ninoy Aquino International Airport (MNL)"
20-Oct-09,McDonnell Douglas MD-11F,N701GC,Centurion Air Cargo,0,Montevideo-Carrasco Airport (MVD)
21-Oct-09,Boeing 737,,EgyptAir,0,Cairo International Airport (CAI)
21-Oct-09,Boeing 707-330C,ST-AKW,"Sudan Airways, lsf AZZA Transport",6,"1,6 km NW of Sharjah Airport (SHJ)"
21-Oct-09,ATR 72-201,EI-REH,Aer Arann,0,Manchester International Airport (MAN/EGCC)
22-Oct-09,de Havilland Canada DHC-8-315Q Dash 8,PH-DXB,Air Nostrum,0,Barcelona-El Prat Airport (BCN/LEBL)
22-Oct-09,Dornier 228-202K,RP-C2282,Island Aviation,0,Pamalican Island Airport
22-Oct-09,Britten-Norman BN-2A-26 Islander,PJ-SUN,Divi Divi Air,1,"4,7 km WNW off Bonaire-Flamingo International Airport (BON)"
26-Oct-09,Beechcraft B100 King Air,N729MS,Mazak Properties Inc.,4,"10 km N of Benavides, TX"
26-Oct-09,British Aerospace BAe-125-800B,RA-02807,S-Air,5,3 km SE of Minsk-2 International Airport (MSQ)
26-Oct-09,Boeing 717-231,N935AT,AirTran Airways,0,"Pleasant Grove, NC"
27-Oct-09,Boeing 767-432ER,N825MH,Delta Air Lines,0,"Atlanta, Georgia"
28-Oct-09,Airbus A321-231,HL7763,Asiana Airlines,0,Osaka-Kansai International Airport (KIX)
28-Oct-09,Boeing 747-41R,G-VROC,Virgin Atlantic Airways,0,Johannesburg O.R. Tambo International Airport (JNB/FAOR)
29-Oct-09,Lockheed HC-130H Hercules,1705,United States Coast Guard,7+2,"24 km E off San Clemente Island, CA"
29-Oct-09,Cessna C-98A Grand Caravan (208B),2725,Força Aérea Brasileira - FAB,2,"near Aldeias Aurélio, AM"
01-Nov-09,de Havilland Canada DHC-8-402Q Dash 8,G-ECOZ,Flybe,0,London-Gatwick Airport (LGW/EGKK)
01-Nov-09,Ilyushin Il-76MD,RF-76801,Russian Ministry of Interior,11,"1,9 km SW of Mirny Airport (MJZ)"
02-Nov-09,McDonnell Douglas MD-90-30,N909DA,Delta Air Lines,0,"25 miles Northeast of Phoenix, AZ"
02-Nov-09,Learjet C-21A (Learjet 35A),84-0094,United States Air Force - USAF,0,Ali Air Base
02-Nov-09,PZL-Mielec M28-05PI Skytruck,P-4202,Kepolisian Negara Republik Indonesia (Indonesian Police),4,near Mulia
02-Nov-09,Antonov An-24RV,EY-47693,Daallo Airlines,0,Bossaso Airport (BSA)
03-Nov-09,Xian MA60,Z-WPJ,Air Zimbabwe,0,Harare Airport (HRE)
05-Nov-09,Boeing 727-230F,J5-GCU,Africa Air Assistance,0,Sinkrebaka
05-Nov-09,Grumman G-111 Albatross,N120FB,Albatross Adventures,0,"Fort Pierce-Saint Lucie County Airport, FL (FPR)"
06-Nov-09,Boeing 737-53A,LV-BIM,Aerolineas Argentinas,0,"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ)"
07-Nov-09,Ilyushin Il-76MD,RA-86894,Russian Air Force,0,Ivanovo-Severny Air Base
09-Nov-09,Beechcraft B200 King Air,N337MT,MDTR Holdings LLC,0,"Greenville-Spartanburg Airport, SC (GSP)"
09-Nov-09,Beechcraft 1900D,5Y-VVQ,Blue Bird Aviation,1,Nairobi-Wilson Airport (WIL)
10-Nov-09,ATR 72-500 (72-212A),VT-KAC,Kingfisher Airlines,0,Mumbai-Chhatrapati Shivaji International Airport (BOM)
12-Nov-09,Canadair CL-600-2B19 Regional Jet CRJ-100ER,5Y-JLD,"Rwandair Express, lsf JetLink Express",1,Kigali International Airport (KGL)
15-Nov-09,CASA C-212-CB Aviocar 100,F-GOGN,Boogie Performance,0,Saint-Jean-de-Thurac
15-Nov-09,Cessna 208B Grand Caravan,ZS-OTU,"Air Nave, lsf Aviation at Work",3,ca 1 km S of Windhoek-Eros Airport (ERS)
18-Nov-09,Dassault Falcon 900EX,VP-CGD,Volkswagen Air Service,0,Emden Airport (EME/EDWE)
18-Nov-09,Boeing 777-222ER,N209UA,United Airlines,0,"New Market, West Virginia"
18-Nov-09,Fokker 100,EP-CFO,Iran Air,0,Isfahan-Shahid Beheshti Airport (IFN)
18-Nov-09,IAI 1124A Westwind II,VH-NGA,Pel-Air,0,5 km SW off Norfolk Island Airport (NLK)
19-Nov-09,de Havilland Canada DHC-8-202Q Dash 8,N355PH,"United States Air Force - USAF, lsf Win Win Aviation",0,"near Tarakigné, 30 km from Kolokani"
19-Nov-09,McDonnell Douglas DC-9-82 (MD-82),9Q-CAB,Compagnie Africaine d'Aviation - CAA,0,Goma Airport (GOM)
23-Nov-09,Lockheed KC-130J Hercules,MM62176,Aeronautica Militare Italiana - AMI,5,"Le Rene, near Coltano"
23-Nov-09,Shijiazhuang Y-5,B-8038,Shanxi Sanjin General Aviation,0,"Yunzhou District, Datong, Shanxi Province"
28-Nov-09,McDonnell Douglas MD-11F,Z-BAV,Avient Aviation,3,Shanghai-Pudong International Airport (PVG)
01-Dec-09,Boeing 727-222F,PR-MTK,TAF Linhas Aéreas,0,"São Paulo-Guarulhos International Airport, SP (GRU)"
07-Dec-09,Embraer EMB-135LR (ERJ-135LR),ZS-SJW,SA Airlink,0,George Airport (GRJ)
09-Dec-09,Beechcraft A100 King Air,C-GPBA,Exact Air,2,"5,5 km NW of Saint-Honoré Airport, QC (YRC)"
11-Dec-09,Beechcraft B300 King Air 350,RP-C2296,INAEC Aviation Corporation,0,Isabel-Pasar Airstrip
13-Dec-09,Airbus A310-304,C-GTSF,Air Transat,0,"Rio de Janeiro-Galeão International Airport, RJ (GIG)"
17-Dec-09,Dassault Falcon 20D,N28RK,FL Aviation Group Inc.,2,"18 km E of Matthew Town, Great Inagua Island"
18-Dec-09,Bombardier CRJ-701ER,N515AE,American Eagle Airlines,0,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)"
19-Dec-09,Airbus A330-243,A6-EAK,Emirates,0,over Mozambique
20-Dec-09,Fairchild SA227-AC Metro III,C6-JER,Western Air,0,Cap Haitien Airport (CAP)
20-Dec-09,British Aerospace BAe-748-398 Srs. 2B,5Y-YKM,748 Air Services,0+1,Tonj Airfield
21-Dec-09,Boeing 737-301,PK-MDH,Merpati Nusantara Airlines,0,Makassar-Sultan Hasanuddin International Airport (UPG)
22-Dec-09,Boeing 737-823 (WL),N977AN,American Airlines,0,Kingston-Norman Manley International Airport (KIN)
25-Dec-09,Airbus A330-323X,N820NW,Northwest Airlines,0,"near Detroit-Metropolitan Wayne County Airport, MI (DTW)"
29-Dec-09,de Havilland Canada DHC-3T Vazar Turbine Otter,DQ-GLL,Pacific Island Seaplanes,0,off Vomo Island
02-Jan-08,Fokker 100,EP-IDB,Iran Air,0,Tehran-Mehrabad Airport (THR)
02-Jan-08,NAMC YS-11A-500,RP-C3592,Asian Spirit,0,Masbate Airport (MBT)
03-Jan-08,Britten-Norman BN-2A-6R Islander,SAN-208,Servicio Aéreo Nacional - SAN,0,off Bahia Piña
04-Jan-08,Let L-410UVP-E3,YV2081,Transaven,14,11 km S off Los Roques Airport (LRV)
09-Jan-08,Airbus A340-312,4R-ADF,SriLankan Airlines,0,Frankfurt International Airport (FRA/EDDF)
09-Jan-08,Airbus A319-114,N349NB,Northwest Airlines,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW)"
