acc. date,type,reg.,operator,fat.,location
28-Feb-24,Cessna 208 Caravan I,PT-PBC,Secretaria da Segurança Pública e Defesa Social Pará,0,"Alenquer-Fazenda Tambaú, PA (SD8G)"
25-Feb-24,Boeing 757-224 (WL),N13138,United Airlines,0,"San Francisco International Airport, CA (SFO/KSFO)"
23-Feb-24,Cessna 208 Caravan,N85WL,Willis Lease Finance Corporation,0,"Miami, FL"
18-Feb-24,Boeing 767-332ER (WL),N176DZ,Delta Air Lines,0,"TMA Bogota, Sector North"
18-Feb-24,Embraer ERJ-195LR,OY-GDC,"Marathon Airlines, opf Air Serbia",0,Beograd-Nikola Tesla Airport (BEG/LYBE)
14-Feb-24,Hawker Beechcraft 400XP,N95GK,PDII LLC,0,"Bentonville Municipal-Louise M Thaden Field, AR (KVBT)"
12-Feb-24,Britten-Norman BN-2A-21 Islander,HC-CXK,ESAV Airlines,0,"ca 1 km N off San Cristóbal Airport (SCY), Galapagos Islands"
11-Feb-24,Cessna 208B Grand Caravan,N80GE,Skydive Puerto Escondido,0+1,Puerto Escondido
10-Feb-24,Boeing 777-222ER,N788UA,United Airlines,0,"near Kelsey, NY"
09-Feb-24,Airbus A300F4-622R,D-AZMO,"European Air Transport, opf DHL",0,Leipzig Airport (LEJ/EDDP)
09-Feb-24,Bombardier CL-600-2B16 Challenger 604,N823KD,Ace Aviation Services dba Hop-A-Jet,2,"near Naples Airport (APF/KAPF), Naples, FL"
09-Feb-24,McDonnell Douglas MD-82,5Y-AXL,African Express Airways,0,Malakal Airport (MAK)
08-Feb-24,Airbus A321-231 (WL),N956JT,Jetblue Airways,0,"Boston-Logan International Airport (BOS/KBOS), Boston, MA"
08-Feb-24,Airbus A321-271NX,N2157J,JetBlue Airways,0,"Boston-Logan International Airport (BOS/KBOS), Boston, MA"
07-Feb-24,Hawker 900XP,N900VA,Clay Lacy Aviation opb Vici Aviation LLC,2,"near Westwater, UT"
01-Feb-24,Boeing 787-9 Dreamliner,JA899A,All Nippon Airways - ANA,0,100 km SSE of Chubu Centrair Internationl Airport (NGO/RJGG)
28-Jan-24,Honda HA-420 HondaJet,N103JT,"Frayer Jets 7 LLC, opb GC Aviation",0,"Orlando International Airport (MCO/KMCO), Orlando, FL"
26-Jan-24,Beechcraft C99 Commuter,N53RP,"Ameriflight, opf Wiggins Airways",0,"Londonderry, NH"
25-Jan-24,Cessna 208 Caravan I,VH-ZWH,Sydney Seaplanes,0,"Sydney Harbour, near Rose Bay Water Airport (RSE/YRAY), NSW"
23-Jan-24,BAe 3212 Jetstream 32,C-FNAA,Northwestern Air,6,"near Fort Smith Airport, NT (YSM/CYSM)"
21-Jan-24,Airbus A350-941,F-HTYH,Air France,0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)"
21-Jan-24,Cirrus SF50 Vision Jet G2+,PS-DAO,RBL Guindastes e Transportes Especiais Ltda,0,"Angra dos Reis Airport (SDAG), Angra dos Reis, RJ"
20-Jan-24,Cessna 208B Grand Caravan,5Y-SPZ,IMI,0,Kasese Airport
20-Jan-24,Dassault Falcon 10,RA-09011,Athletic Group LLC,2,"Topkana area, Kuran wa Munjan District, Badakkhshan province"
18-Jan-24,Bombardier DHC-8-402Q Dash 8,ET-AVS,Ethiopian Airlines,0,Mekele Airport (MQX/HAMK)
18-Jan-24,Fokker 50,5Y-JWG,Jetways Airlines,1,Ceelbarde Airstrip
17-Jan-24,Airbus A320-214,D-AICP,Condor Flugdienst,0,München-Franz Josef Strauss Airport (MUC/EDDM)
14-Jan-24,Ilyushin Il-22M-11RT,RF-95678,Russian Air Force,1,near Anapa
11-Jan-24,Learjet 55,N558RA,Royal Air Freight,0,"Mission Field Airport (LVM/KLVM), Livingston, MT"
10-Jan-24,Boeing 737-924ER (WL),N62883,United Airlines,0,"Houston-George Bush Intercontinental Airport (IAH/KIAH), Houston, TX"
08-Jan-24,Cessna 208B Grand Caravan,VH-NWJ,Townsville Airlines Pty Ltd,0,"Lizard Island Airport (YLZI), Lizard Island, QLD"
05-Jan-24,Boeing 737-8Q8 (WL),LV-KJE,Flybondi,0,"Mar del Plata-Astor Piazzolla International Airport, BA (MDQ/SAZM)"
05-Jan-24,Boeing 737 MAX 9,N704AL,Alaska Airlines,0,"Portland, OR"
02-Jan-24,Learjet 35A,N46MF,Med Flight Air Ambulance Inc,0,"San Marcos Regional Airport (HYI/KHYI), San Marcos, TX"
02-Jan-24,de Havilland Canada DHC-8-315Q MPA,JA722A,Japan Coast Guard,5,Tokyo-Haneda Airport (HND/RJTT)
02-Jan-24,Airbus A350-941,JA13XJ,Japan Airlines (JAL),0+5,Tokyo International Airport/Haneda (HND/RJTT)
